2018-07-26,0.1745150699364873     
2018-07-27,0.15385723333772516      
2018-07-30,0.15552484217259502  
2018-08-01,0.14585309245308536  
2018-08-02,0.15897392738070776      
2018-08-06,0.1934246481011589      
2018-08-07,0.19577043259262253
2018-08-08,0.1564298572091345
2018-08-09,0.15654958430985566
2018-08-10,0.14504197255574616
2018-08-13,0.18407936518724938
2018-08-14,0.1235625966649962
2018-08-15,0.17298172427816189
2018-08-20,0.13839530287768134
2018-08-23,0.1840697820930922
2018-08-28,0.20606437142758766
2018-08-30,0.18507162501102833
2018-09-03,0.19466284701620712,19591,44455
2018-09-04,0.16687381956290834,10347,20722
2018-09-05,0.14035545123207352,26096,49630
2018-09-06,0.12687585805517979,23076,40498
2018-09-07,0.12656712757492705,20387,36168
2018-09-10,0.16176084611428343,25464,50365
2018-09-11,0.14056861166171128,17489,30943
2018-09-12,0.17225348170731708,15817,33383
2018-09-13,0.15918480931190468,18658,35724
2018-09-17,0.17501734871571614,22925,50579
2018-09-18,0.14661913646055438,3278,6102
2018-09-19,0.15146084489281209,18341,35583
2018-09-20,0.14849998455320132,13405,25438
2018-09-21,0.18168239396071906,9776,21486
2018-09-24,0.1941718341995183,2394,5495
2018-09-25,0.188913178986711,14924,33236
2018-09-26,0.15597602582795253,1659,3142
2018-09-27,0.17691681165724227,6062,12330
2018-09-29,0.11346323696790349,3435,5351
2018-10-01,0.1575323526022662,8912,17123
2018-10-02,0.14559872969178309,5199,9758
2018-10-03,0.1149242814774872,21453,34182
2018-10-04,0.1268813693260842,5931,9887
2018-10-05,0.08209259139087174,3904,5342
2018-10-08,0.1157409362266654,3957,6596
2018-10-09,0.11216773228346458,2470,3880
2018-10-10,0.13126408467644937,1530,2627
2018-10-11,0.11341939037825928,1023,1700
2018-10-12,0.1493738336713996,176,317
2018-10-15,0.19192348387096775,228,547
2018-10-16,0.15933943661971833,222,417
2018-10-17,0.16299359938472055,19691,38819
2018-10-18,0.127716574411435,10541,18003
2018-10-19,0.08174671508748763,11488,15773
2018-10-22,0.1078498737210206,11918,18966
2018-10-23,0.11123457663243556,8290,12354
2018-10-24,0.14055632651154096,7861,13541
2018-10-29,0.14006060050116342,16262,28434
2018-10-30,0.09436192531031912,7611,11160
2018-11-05,0.1232137013406558,9379,15385
2018-11-06,0.17348335755813954,1757,3747
2018-11-13,0.10405906510115209,7131,11010
2018-11-14,0.1168195982868114,2533,4238
2018-11-15,0.10681695829338446,6663,10025
2018-11-19,0.13082002808988763,1339,2221
2018-11-21,0.06309480901077376,448,573
