2018-07-26,0.174041379977511,142214,297112
2018-07-27,0.15390813497619715,37276,69854
2018-07-30,0.15554119500975844,49817,95186
2018-08-01,0.14589759832704227,60722,110950
2018-08-02,0.1589198672965796,103579,199955
2018-08-06,0.19341390839702688,117863,262605
2018-08-07,0.19605585850994534,29703,70092
2018-08-08,0.15659419593080945,33169,64590
2018-08-09,0.15673813766767844,27697,54007
2018-08-10,0.14542886343599806,49582,91070
2018-08-13,0.18451922335321286,27138,62066
2018-08-14,0.12385051174315882,75441,128763
2018-08-15,0.1734368702906351,23998,50322
2018-08-20,0.13860289276101428,62797,113678
2018-08-23,0.18417384805878947,43281,93206
2018-08-28,0.20618341185474956,34333,83257
2018-08-30,0.18531173332003592,24539,55677
2018-09-03,0.19517834639003898,19830,45143
2018-09-04,0.1675970988618612,10419,20948
2018-09-05,0.14119503171247355,26332,50294
2018-09-06,0.12673111520537553,23451,41138
2018-09-07,0.12689660009758816,20665,36719
2018-09-10,0.16250810459216858,25744,51126
2018-09-11,0.14092654478602798,17648,31307
2018-09-12,0.17231973871686296,16010,33821
2018-09-13,0.15949489554520313,18826,36126
2018-09-17,0.1756819151350125,23316,51603
2018-09-18,0.14646516277609128,3348,6205
2018-09-19,0.1519484649202485,18682,36364
2018-09-20,0.1493992168292992,13566,25889
2018-09-21,0.18193674632755977,9971,21956
2018-09-24,0.19488150080755373,2438,5611
2018-09-25,0.1891717808495611,15323,34232
2018-09-26,0.15723016359918202,1683,3207
2018-09-27,0.17733339826270073,6238,12757
2018-09-29,0.1141136095333556,3504,5475
2018-10-01,0.15737894892672097,9229,17791
2018-10-02,0.14514758268073263,5368,10083
2018-10-03,0.11563172264469793,21839,34969
2018-10-04,0.12735307286294967,6172,10311
2018-10-05,0.08434096459096459,4128,5700
2018-10-08,0.1177492020580797,4279,7188
2018-10-09,0.1116762374821173,2715,4275
2018-10-10,0.12742092175777062,1724,2941
2018-10-11,0.11359250504468148,1294,2175
2018-10-12,0.15741900237529693,433,830
2018-10-15,0.16691645064805585,658,1348
2018-10-16,0.1477458064516129,659,1201
2018-10-17,0.16290949295019927,20109,39609
2018-10-18,0.12796837533179356,10696,18313
2018-10-19,0.08134334436609585,11718,16078
2018-10-22,0.10817652078085643,12241,19519
2018-10-23,0.11265417947868867,8467,12672
2018-10-24,0.14098310573190226,8025,13870
2018-10-29,0.14031050106609808,16369,28655
2018-10-30,0.09516832371123488,7918,11655
2018-11-05,0.12301887609182964,9790,16084
2018-11-06,0.1744837399761133,1861,4000
2018-11-13,0.10578315865558367,7557,11812
2018-11-14,0.12073826379542395,2733,4697
2018-11-15,0.10532785667982793,6797,10172
2018-11-19,0.12514060119415277,1849,3008
2018-11-21,0.07394765291607397,904,1205
