2018-07-26,0.17412852725893144,142433,297753
2018-07-27,0.1540305420602579,37298,69941
2018-07-30,0.1555905162494919,49854,95289
2018-08-01,0.14590089014897914,60756,111013
2018-08-02,0.15889461109793687,103623,200001
2018-08-06,0.1933861045423971,117913,262679
2018-08-07,0.19606164872038867,29717,70118
2018-08-08,0.1566793917088381,33180,64635
2018-08-09,0.156802824879493,27704,54034
2018-08-10,0.14546039275332445,49592,91107
2018-08-13,0.18453635212798133,27155,62108
2018-08-14,0.12386380545314786,75454,128795
2018-08-15,0.17354182094408369,24011,50368
2018-08-20,0.13833827936938464,63023,113947
2018-08-23,0.18414316767913344,43334,93296
2018-08-28,0.2062411099779024,34348,83312
2018-08-30,0.18505517983017766,24632,55805
2018-09-03,0.19513477305552993,19867,45215
2018-09-04,0.1675159385654654,10427,20956
2018-09-05,0.14132879088206146,26341,50343
2018-09-06,0.12669338583408113,23468,41166
2018-09-07,0.12698133205641654,20676,36754
2018-09-10,0.1624527667650232,25767,51164
2018-09-11,0.1408448043598065,17668,31325
2018-09-12,0.1723008903326716,16024,33845
2018-09-13,0.15950084377443582,18839,36152
2018-09-17,0.1755854875887706,23364,51689
2018-09-18,0.14692109700249792,3360,6248
2018-09-19,0.1519499237445078,18692,36386
2018-09-20,0.14947542171115952,13572,25910
2018-09-21,0.18195775282304735,9982,21987
2018-09-24,0.19413578986220473,2468,5660
2018-09-25,0.18910128605696552,15343,34266
2018-09-26,0.15562302245599838,1711,3232
2018-09-27,0.17682090389555916,6269,12804
2018-09-29,0.11336797722045779,3568,5563
2018-10-01,0.157329543691114,9245,17820
2018-10-02,0.14497995354539003,5385,10114
2018-10-03,0.11573243651965955,21855,35013
2018-10-04,0.12792328601630928,6186,10369
2018-10-05,0.08480056760591934,4141,5725
2018-10-08,0.11782685209253964,4307,7234
2018-10-09,0.10950046537864898,2775,4316
2018-10-10,0.12746858108108108,1750,2986
2018-10-11,0.11583307952622675,1311,2235
2018-10-12,0.15478269662921348,458,877
2018-10-15,0.15220031360250882,847,1704
2018-10-16,0.13992847763643826,855,1582
2018-10-17,0.1627533121875882,20272,39945
2018-10-18,0.1278682732996181,10719,18348
2018-10-19,0.08148031739192876,11739,16113
2018-10-22,0.10804014639816532,12275,19556
2018-10-23,0.11269429785225395,8484,12701
2018-10-24,0.1412160357159127,8041,13910
2018-10-29,0.14029176457597173,16458,28822
2018-10-30,0.0950451760333484,8055,11856
2018-11-05,0.12216634611729826,9960,16349
2018-11-06,0.1737358251771853,1886,4040
2018-11-13,0.10575900731558625,7676,12008
2018-11-14,0.12087499330655957,2749,4721
2018-11-15,0.10583314939829762,6813,10222
2018-11-19,0.12260231157731158,1973,3175
2018-11-21,0.07627519616390584,977,1317
